date,max_temp,precipitation,root_zone_moisture,deep_soil_moisture,rolling_rain_14d,drought_risk_label
2024-01-01,14.3,0.0,0.275,0.152,0.0,0
2024-01-02,12.4,0.0,0.274,0.154,0.0,0
2024-01-03,12.0,3.4,0.272,0.154,3.4,0
2024-01-04,14.1,2.8,0.27,0.154,6.199999999999999,0
2024-01-05,15.4,14.8,0.274,0.154,21.0,0
2024-01-06,15.9,0.0,0.287,0.154,21.0,0
2024-01-07,14.3,0.0,0.288,0.153,21.0,0
2024-01-08,15.4,0.0,0.286,0.156,21.0,0
2024-01-09,15.1,0.0,0.284,0.157,21.0,0
2024-01-10,14.2,0.0,0.28,0.155,21.0,0
2024-01-11,13.3,17.6,0.282,0.155,38.6,0
2024-01-12,12.2,6.8,0.293,0.156,45.4,0
2024-01-13,10.9,15.8,0.329,0.158,61.2,0
2024-01-14,13.0,2.1,0.375,0.164,63.300000000000004,0
2024-01-15,10.9,0.0,0.362,0.17,63.300000000000004,0
2024-01-16,14.0,2.4,0.345,0.173,65.7,0
2024-01-17,14.7,0.0,0.335,0.176,62.300000000000004,0
2024-01-18,16.6,0.0,0.324,0.178,59.5,0
2024-01-19,16.5,0.0,0.318,0.179,44.7,0
2024-01-20,16.6,0.0,0.312,0.181,44.7,0
2024-01-21,16.5,0.9,0.305,0.182,45.6,0
2024-01-22,14.5,8.9,0.308,0.183,54.5,0
2024-01-23,15.1,3.5,0.309,0.184,58.0,0
2024-01-24,13.2,0.1,0.311,0.185,58.1,0
2024-01-25,12.2,0.0,0.31,0.186,40.5,0
2024-01-26,11.7,15.3,0.314,0.188,49.00000000000001,0
2024-01-27,10.7,2.1,0.335,0.189,35.300000000000004,0
2024-01-28,10.6,0.0,0.334,0.19,33.2,0
2024-01-29,9.2,1.1,0.329,0.193,34.3,0
2024-01-30,11.3,1.0,0.321,0.194,32.9,0
2024-01-31,11.8,0.0,0.314,0.195,32.9,0
2024-02-01,12.2,0.0,0.309,0.197,32.9,0
2024-02-02,11.6,0.0,0.302,0.198,32.9,0
2024-02-03,11.8,0.0,0.294,0.197,32.9,0
2024-02-04,8.3,6.4,0.297,0.198,38.400000000000006,0
2024-02-05,9.3,9.7,0.317,0.199,39.2,0
2024-02-06,12.5,0.0,0.338,0.201,35.7,0
2024-02-07,14.1,0.0,0.335,0.203,35.599999999999994,0
2024-02-08,16.2,0.5,0.332,0.205,36.099999999999994,0
2024-02-09,16.9,0.0,0.326,0.207,20.8,0
2024-02-10,16.5,1.4,0.319,0.208,20.099999999999998,0
2024-02-11,18.7,0.0,0.316,0.211,20.099999999999998,0
2024-02-12,18.8,0.0,0.31,0.211,18.999999999999996,0
2024-02-13,18.1,0.0,0.305,0.211,17.999999999999996,0
2024-02-14,14.7,67.8,0.35,0.213,85.8,0
2024-02-15,16.9,1.4,0.348,0.214,87.2,0
2024-02-16,15.0,4.3,0.353,0.218,91.5,0
2024-02-17,14.6,1.5,0.361,0.222,93.0,0
2024-02-18,15.2,1.2,0.357,0.225,87.8,0
2024-02-19,15.0,3.0,0.351,0.228,81.10000000000001,0
2024-02-20,15.2,0.1,0.343,0.23,81.2,0
2024-02-21,15.1,0.8,0.334,0.231,82.0,0
2024-02-22,16.1,0.1,0.327,0.234,81.60000000000001,0
2024-02-23,15.9,0.3,0.319,0.233,81.9,0
2024-02-24,16.7,0.0,0.311,0.233,80.5,0
2024-02-25,18.8,0.0,0.303,0.232,80.5,0
